customer_id,customer_name,customer_email,activity_status,grain_type,storage_start_date,storage_end_date,total_bags,total_weight_kg,storage_duration_days,monthly_rent_per_bag,total_rent_paid,sold_status,sale_price_per_kg,total_sale_amount,sale_date,profit_loss
1908,Customer_1908,customer1908@mail.com,storing,Barley,2023-10-23,2023-12-08,154,7700,46,41,9681.47,yes,51,0,2023-12-08,-9681.47
419,Customer_419,customer419@mail.com,sold,Millet,2023-05-22,2023-08-17,159,3975,87,48,22132.8,yes,29,115275,2023-08-17,93142.2
1852,Customer_1852,customer1852@mail.com,stored,Sorghum,2023-10-14,2023-11-19,198,9900,36,31,7365.6,yes,48,475200,2023-11-19,467834.4
323,Customer_323,customer323@mail.com,storing,Wheat,2024-03-22,2024-08-20,85,2125,151,54,23103.0,yes,25,53125,2024-08-20,30022.0
694,Customer_694,customer694@mail.com,sold,Wheat,2023-05-06,2023-06-16,97,2425,41,59,7821.43,partial,31,0,2023-06-16,-7821.43
721,Customer_721,customer721@mail.com,sold,Millet,2024-01-16,2024-03-11,168,4200,55,30,9240.0,no,42,0,2024-03-11,-9240.0
846,Customer_846,customer846@mail.com,storing,Sorghum,2023-07-11,2023-12-14,77,1925,156,30,12012.0,partial,27,0,2023-12-14,-12012.0
621,Customer_621,customer621@mail.com,storing,Barley,2024-04-09,2024-07-05,109,5450,87,59,18649.9,yes,48,261600,2024-07-05,242950.1
920,Customer_920,customer920@mail.com,storing,Wheat,2023-02-20,2023-06-27,160,4000,127,24,16256.0,yes,40,0,2023-06-27,-16256.0
1523,Customer_1523,customer1523@mail.com,stored,Sorghum,2023-02-01,2023-06-12,144,7200,131,52,32697.6,yes,39,0,2023-06-12,-32697.6
1017,Customer_1017,customer1017@mail.com,storing,Barley,2024-08-03,2024-08-31,175,4375,28,25,4083.33,no,47,0,2024-08-31,-4083.33
1558,Customer_1558,customer1558@mail.com,stored,Rice,2023-12-26,2024-05-18,18,450,144,25,2160.0,yes,43,0,2024-05-18,-2160.0
1166,Customer_1166,customer1166@mail.com,stored,Barley,2023-02-23,2023-05-01,181,9050,67,58,23445.53,no,48,0,2023-05-01,-23445.53
481,Customer_481,customer481@mail.com,sold,Maize,2024-08-10,2024-12-23,62,1550,135,37,10323.0,no,53,82150,2024-12-23,71827.0
289,Customer_289,customer289@mail.com,stored,Wheat,2023-08-22,2023-09-01,15,375,10,20,100.0,no,34,12750,2023-09-01,12650.0
1451,Customer_1451,customer1451@mail.com,storing,Barley,2024-03-22,2024-08-25,146,7300,156,32,24294.4,no,49,357700,2024-08-25,333405.6
717,Customer_717,customer717@mail.com,sold,Maize,2023-12-17,2024-03-14,144,7200,88,38,16051.2,yes,31,223200,2024-03-14,207148.8
1756,Customer_1756,customer1756@mail.com,stored,Millet,2024-01-06,2024-01-29,160,8000,23,32,3925.33,no,43,344000,2024-01-29,340074.67
947,Customer_947,customer947@mail.com,sold,Maize,2023-02-06,2023-03-02,115,2875,24,58,5336.0,partial,46,0,2023-03-02,-5336.0
778,Customer_778,customer778@mail.com,stored,Sorghum,2023-01-22,2023-06-25,146,7300,154,29,21734.53,yes,35,255500,2023-06-25,233765.47
1013,Customer_1013,customer1013@mail.com,sold,Barley,2023-10-09,2024-02-27,68,3400,141,30,9588.0,partial,39,132600,2024-02-27,123012.0
1324,Customer_1324,customer1324@mail.com,sold,Sorghum,2023-03-14,2023-08-01,82,4100,140,57,21812.0,no,46,0,2023-08-01,-21812.0
1824,Customer_1824,customer1824@mail.com,storing,Wheat,2024-02-23,2024-06-17,138,6900,115,28,14812.0,yes,35,0,2024-06-17,-14812.0
1381,Customer_1381,customer1381@mail.com,storing,Wheat,2023-05-15,2023-08-01,13,650,78,40,1352.0,partial,44,28600,2023-08-01,27248.0
4,Customer_4,customer4@mail.com,stored,Maize,2024-04-18,2024-07-14,193,9650,87,25,13992.5,yes,54,0,2024-07-14,-13992.5
1456,Customer_1456,customer1456@mail.com,stored,Wheat,2023-05-07,2023-07-21,19,950,75,27,1282.5,no,25,0,2023-07-21,-1282.5
1471,Customer_1471,customer1471@mail.com,storing,Sorghum,2024-05-26,2024-07-14,189,9450,49,42,12965.4,partial,52,491400,2024-07-14,478434.6
1582,Customer_1582,customer1582@mail.com,stored,Millet,2024-03-04,2024-04-14,161,4025,41,51,11221.7,no,25,100625,2024-04-14,89403.3
1421,Customer_1421,customer1421@mail.com,storing,Millet,2023-06-01,2023-08-18,89,2225,78,30,6942.0,yes,50,0,2023-08-18,-6942.0
104,Customer_104,customer104@mail.com,sold,Millet,2024-03-06,2024-08-20,106,5300,167,30,17702.0,no,55,291500,2024-08-20,273798.0
1317,Customer_1317,customer1317@mail.com,stored,Maize,2024-04-17,2024-09-13,192,4800,149,32,30515.2,yes,31,0,2024-09-13,-30515.2
780,Customer_780,customer780@mail.com,sold,Rice,2023-01-30,2023-06-26,47,2350,147,60,13818.0,partial,28,0,2023-06-26,-13818.0
1107,Customer_1107,customer1107@mail.com,sold,Wheat,2023-12-18,2024-06-01,96,2400,166,35,18592.0,yes,36,86400,2024-06-01,67808.0
1085,Customer_1085,customer1085@mail.com,storing,Wheat,2024-06-25,2024-10-25,93,4650,122,55,20801.0,no,54,251100,2024-10-25,230299.0
1599,Customer_1599,customer1599@mail.com,sold,Sorghum,2024-02-15,2024-05-22,179,8950,97,24,13890.4,no,41,366950,2024-05-22,353059.6
1199,Customer_1199,customer1199@mail.com,sold,Wheat,2023-06-22,2023-09-18,95,4750,88,53,14769.33,partial,42,0,2023-09-18,-14769.33
128,Customer_128,customer128@mail.com,stored,Rice,2023-04-28,2023-07-19,88,2200,82,42,10102.4,yes,38,83600,2023-07-19,73497.6
1840,Customer_1840,customer1840@mail.com,storing,Sorghum,2024-05-10,2024-08-15,176,4400,97,34,19348.27,no,42,0,2024-08-15,-19348.27
1867,Customer_1867,customer1867@mail.com,stored,Sorghum,2023-06-08,2023-10-18,139,6950,132,44,26910.4,partial,42,291900,2023-10-18,264989.6
228,Customer_228,customer228@mail.com,storing,Wheat,2024-08-09,2024-11-16,120,3000,99,37,14652.0,partial,46,0,2024-11-16,-14652.0
1947,Customer_1947,customer1947@mail.com,stored,Millet,2023-03-06,2023-05-24,64,3200,79,33,5561.6,yes,46,147200,2023-05-24,141638.4
1954,Customer_1954,customer1954@mail.com,stored,Maize,2023-03-29,2023-06-22,198,9900,85,60,33660.0,no,34,0,2023-06-22,-33660.0
1692,Customer_1692,customer1692@mail.com,stored,Sorghum,2023-08-10,2023-09-02,156,7800,23,50,5980.0,yes,29,226200,2023-09-02,220220.0
399,Customer_399,customer399@mail.com,storing,Rice,2023-10-27,2024-04-19,200,5000,175,21,24500.0,no,37,185000,2024-04-19,160500.0
505,Customer_505,customer505@mail.com,storing,Wheat,2023-11-16,2023-11-26,17,425,10,26,147.33,yes,55,0,2023-11-26,-147.33
931,Customer_931,customer931@mail.com,stored,Rice,2024-05-27,2024-09-22,106,2650,118,47,19595.87,partial,47,0,2024-09-22,-19595.87
1013,Customer_1013,customer1013@mail.com,storing,Sorghum,2024-04-13,2024-07-04,109,5450,82,23,6852.47,partial,50,272500,2024-07-04,265647.53
1839,Customer_1839,customer1839@mail.com,stored,Rice,2023-12-27,2024-06-19,93,4650,175,54,29295.0,partial,53,0,2024-06-19,-29295.0
434,Customer_434,customer434@mail.com,sold,Millet,2023-03-26,2023-06-13,16,400,79,47,1980.27,no,30,0,2023-06-13,-1980.27
357,Customer_357,customer357@mail.com,stored,Maize,2024-05-31,2024-09-06,53,2650,98,20,3462.67,no,40,106000,2024-09-06,102537.33
1069,Customer_1069,customer1069@mail.com,sold,Maize,2023-10-18,2024-04-08,122,3050,173,29,20402.47,yes,51,155550,2024-04-08,135147.53
116,Customer_116,customer116@mail.com,storing,Millet,2023-04-10,2023-08-03,43,2150,115,45,7417.5,no,41,0,2023-08-03,-7417.5
673,Customer_673,customer673@mail.com,sold,Rice,2023-09-15,2024-02-03,137,3425,141,36,23180.4,partial,51,174675,2024-02-03,151494.6
1146,Customer_1146,customer1146@mail.com,stored,Wheat,2024-01-09,2024-02-24,48,2400,46,32,2355.2,partial,29,69600,2024-02-24,67244.8
1479,Customer_1479,customer1479@mail.com,sold,Wheat,2023-08-18,2023-08-30,132,6600,12,52,2745.6,yes,36,237600,2023-08-30,234854.4
164,Customer_164,customer164@mail.com,stored,Millet,2023-05-22,2023-07-09,85,4250,48,57,7752.0,partial,36,153000,2023-07-09,145248.0
1594,Customer_1594,customer1594@mail.com,storing,Millet,2023-01-29,2023-05-02,197,9850,93,45,27481.5,yes,44,0,2023-05-02,-27481.5
1821,Customer_1821,customer1821@mail.com,stored,Wheat,2023-10-27,2024-02-12,132,3300,108,50,23760.0,partial,51,0,2024-02-12,-23760.0
500,Customer_500,customer500@mail.com,stored,Rice,2023-01-21,2023-07-06,141,7050,166,31,24186.2,partial,42,296100,2023-07-06,271913.8
16,Customer_16,customer16@mail.com,storing,Millet,2023-06-16,2023-07-16,191,9550,30,41,7831.0,yes,27,0,2023-07-16,-7831.0
1293,Customer_1293,customer1293@mail.com,stored,Wheat,2024-03-09,2024-05-30,87,2175,82,55,13079.0,partial,52,113100,2024-05-30,100021.0
524,Customer_524,customer524@mail.com,storing,Barley,2024-04-17,2024-10-09,168,4200,175,48,47040.0,no,32,134400,2024-10-09,87360.0
911,Customer_911,customer911@mail.com,stored,Millet,2023-05-10,2023-06-01,150,7500,22,35,3850.0,partial,26,0,2023-06-01,-3850.0
1340,Customer_1340,customer1340@mail.com,storing,Wheat,2023-08-17,2023-10-06,47,2350,50,38,2976.67,partial,25,0,2023-10-06,-2976.67
1040,Customer_1040,customer1040@mail.com,storing,Maize,2024-07-07,2024-10-21,73,1825,106,53,13670.47,no,42,76650,2024-10-21,62979.53
765,Customer_765,customer765@mail.com,stored,Rice,2023-02-02,2023-06-27,39,1950,145,36,6786.0,yes,46,89700,2023-06-27,82914.0
474,Customer_474,customer474@mail.com,stored,Wheat,2023-05-27,2023-08-21,73,1825,86,35,7324.33,no,33,60225,2023-08-21,52900.67
51,Customer_51,customer51@mail.com,storing,Barley,2024-03-23,2024-07-22,84,4200,121,24,8131.2,yes,50,210000,2024-07-22,201868.8
904,Customer_904,customer904@mail.com,sold,Rice,2024-07-29,2024-11-11,32,1600,105,29,3248.0,partial,38,0,2024-11-11,-3248.0
60,Customer_60,customer60@mail.com,stored,Rice,2023-04-06,2023-05-08,39,1950,32,43,1788.8,no,25,0,2023-05-08,-1788.8
1107,Customer_1107,customer1107@mail.com,stored,Maize,2024-01-12,2024-06-22,19,475,162,46,4719.6,no,33,15675,2024-06-22,10955.4
1807,Customer_1807,customer1807@mail.com,stored,Barley,2023-03-22,2023-04-18,180,9000,27,48,7776.0,partial,41,369000,2023-04-18,361224.0
1557,Customer_1557,customer1557@mail.com,sold,Sorghum,2023-12-02,2024-01-28,94,2350,57,35,6251.0,no,35,82250,2024-01-28,75999.0
186,Customer_186,customer186@mail.com,stored,Rice,2024-04-06,2024-06-10,60,3000,65,27,3510.0,no,39,0,2024-06-10,-3510.0
